id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
2500,Cezary Polak,Jagiellonia Białystok,DEF,1.6,NES,,,,,,,,,,,,
2541,Leon Flach,Jagiellonia Białystok,MID,1.8,EXP,,,,,,,,,,,,
2662,Yūki Kobayashi,Jagiellonia Białystok,DEF,1.7,EXP,,,,,,,,,,,,
2351,Szymon Karasiński,Zagłębie Lubin,MID,0.7,NES,,,,,,,,,,,,
1578,Jan Biegański,Pogoń Szczecin,MID,1.7,EXP,,,,,,,,,,,,
1682,Miłosz Kozak,Śląsk Wrocław,MID,1.7,NES,,,,,,,,,,,,
2805,Otto Hindrich,Legia Warszawa,GKP,1.9,EXP,,,,,,,,,,,,
2902,Lucas Piazón,Wieczysta Kraków,MID,1.7,EXP,,,,,,,,,,,,
2919,Robert Deziel,Legia Warszawa,DEF,1.7,NES,,,,,,,,,,,,
2676,Emmanuel Twumasi,Piast Gliwice,DEF,1.7,MAY,,,,,,,,,,,,
813,Mateusz Żyro,Widzew Łódź,DEF,1.7,MAY,,,,,,,,,,,,
2690,Ricardo Visus,Widzew Łódź,DEF,1.7,NES,,,,,,,,,,,,
2763,Brahim Traoré,Cracovia,DEF,1.7,EXP,,,,,,,,,,,,
2571,Gustaw Henriksson,Cracovia,DEF,1.7,EXP,,,,,,,,,,,,
166,Rafał Janicki,Górnik Zabrze,DEF,2,EXP,,,,,,,,,,,,
2090,Chrístos Dónis,Radomiak Radom,MID,1.6,EXP,,,,,,,,,,,,
2689,Lindon Selahi,Widzew Łódź,MID,1.8,MAY,,,,,,,,,,,,
2945,Rodrigo Conceicao,Jagiellonia Białystok,DEF,2,NES,,,,,,,,,,,,
244,Radosław Murawski,Lech Poznań,MID,1.7,EXP,,,,,,,,,,,,
1005,Karol Fila,Wieczysta Kraków,DEF,1.7,EXP,,,,,,,,,,,,
2652,Krystian Pomorski,Wisła Płock,MID,1.7,EXP,,,,,,,,,,,,
2703,Ibrahima Camará,Radomiak Radom,MID,1.7,MAY,,,,,,,,,,,,
2748,Jesse Bosch,GKS Katowice,MID,1.7,NES,,,,,,,,,,,,
964,Sebastian Milewski,GKS Katowice,MID,1.8,EXP,,,,,,,,,,,,
2472,Bartłomiej Smolarczyk,Korona Kielce,DEF,1.7,MAY,,,,,,,,,,,,
2458,Hubert Zwoźny,Korona Kielce,DEF,1.7,EXP,,,,,,,,,,,,
1455,Aleks Ławniczak,Zagłębie Lubin,DEF,1.7,MAY,,,,,,,,,,,,
2059,Jakub Kolan,Zagłębie Lubin,MID,1.7,NES,,,,,,,,,,,,
2769,Bogdan Mirčetić,Raków Częstochowa,MID,1.8,NES,,,,,,,,,,,,
2661,Bernardo Vital,Jagiellonia Białystok,DEF,1.9,EXP,,,,,,,,,,,,
2810,Carlos Isaac,Widzew Łódź,DEF,1.8,NES,,,,,,,,,,,,
2940,Mario García,Widzew Łódź,DEF,1.9,NES,,,,,,,,,,,,
2811,Abraham Ojo,Raków Częstochowa,MID,1.8,NES,,,,,,,,,,,,
118,Michał Mokrzycki,Śląsk Wrocław,MID,1.6,EXP,,,,,,,,,,,,
256,Jakub Czerwiński,Piast Gliwice,DEF,1.7,MAY,,,,,,,,,,,,
2886,Eniss Shabani,Śląsk Wrocław,MID,1.9,NES,,,,,,,,,,,,
432,Grzegorz Tomasiewicz,Śląsk Wrocław,MID,1.7,MAY,,,,,,,,,,,,
1900,Władysław Koczerhin,Raków Częstochowa,MID,2,MAY,,,,,,,,,,,,
992,Przemysław Wiśniewski,Widzew Łódź,DEF,2,EXP,,,,,,,,,,,,
2867,Mariusz Kutwa,Wisła Kraków,DEF,1.5,EXP,,,,,,,,,,,,
1598,Mateusz Łęgowski,Motor Lublin,MID,1.9,EXP,,,,,,,,,,,,
2353,Mikkel Maigaard,Wieczysta Kraków,MID,2,EXP,,,,,,,,,,,,
2058,Filip Kocaba,Zagłębie Lubin,MID,1.7,EXP,,,,,,,,,,,,
2491,Maciej Wojciechowski,Pogoń Szczecin,MID,0.7,NES,,,,,,,,,,,,
2104,Michal Sáček,Górnik Zabrze,DEF,1.8,EXP,,,,,,,,,,,,
2189,Adrián Diéguez,Radomiak Radom,DEF,1.8,EXP,,,,,,,,,,,,
2744,Stélios Andréou,Widzew Łódź,DEF,1.7,EXP,,,,,,,,,,,,
